video_id,url,status,message,path
OSFEUVNf7_A,https://www.youtube.com/watch?v=OSFEUVNf7_A,ok,downloaded,data/raw_vtt
OhZcxvGNzJY,https://www.youtube.com/watch?v=OhZcxvGNzJY,ok,downloaded,data/raw_vtt
PNByT_Mm_Ac,https://www.youtube.com/watch?v=PNByT_Mm_Ac,ok,downloaded,data/raw_vtt
QXUNnXHXeVQ,https://www.youtube.com/watch?v=QXUNnXHXeVQ,ok,downloaded,data/raw_vtt
R-5H70SfbG8,https://www.youtube.com/watch?v=R-5H70SfbG8,ok,downloaded,data/raw_vtt
Rzb5r8FXpRU,https://www.youtube.com/watch?v=Rzb5r8FXpRU,ok,downloaded,data/raw_vtt
SxS2AayOHmo,https://www.youtube.com/watch?v=SxS2AayOHmo,ok,downloaded,data/raw_vtt
ToUpAWW7u4c,https://www.youtube.com/watch?v=ToUpAWW7u4c,ok,downloaded,data/raw_vtt
TqNrJNhcf5g,https://www.youtube.com/watch?v=TqNrJNhcf5g,ok,downloaded,data/raw_vtt
ULSEjCKTGZ0,https://www.youtube.com/watch?v=ULSEjCKTGZ0,ok,downloaded,data/raw_vtt
Us8n8VBQn_c,https://www.youtube.com/watch?v=Us8n8VBQn_c,ok,downloaded,data/raw_vtt
V7a8X8AB8yU,https://www.youtube.com/watch?v=V7a8X8AB8yU,ok,downloaded,data/raw_vtt
VVfCLb_n8vA,https://www.youtube.com/watch?v=VVfCLb_n8vA,ok,downloaded,data/raw_vtt
VaVC3PAWqLk,https://www.youtube.com/watch?v=VaVC3PAWqLk,ok,downloaded,data/raw_vtt
WLWbFVKFffM,https://www.youtube.com/watch?v=WLWbFVKFffM,ok,downloaded,data/raw_vtt
WmhCqjc6-Mo,https://www.youtube.com/watch?v=WmhCqjc6-Mo,ok,downloaded,data/raw_vtt
Ww5J7JHBn5E,https://www.youtube.com/watch?v=Ww5J7JHBn5E,ok,downloaded,data/raw_vtt
YCWYTZImgVY,https://www.youtube.com/watch?v=YCWYTZImgVY,ok,downloaded,data/raw_vtt
Yo-IL-LH5FQ,https://www.youtube.com/watch?v=Yo-IL-LH5FQ,ok,downloaded,data/raw_vtt
ZAYg2zQ0arE,https://www.youtube.com/watch?v=ZAYg2zQ0arE,ok,downloaded,data/raw_vtt
ZE_H7rijrVk,https://www.youtube.com/watch?v=ZE_H7rijrVk,ok,downloaded,data/raw_vtt
Znoi6tBtYRc,https://www.youtube.com/watch?v=Znoi6tBtYRc,ok,downloaded,data/raw_vtt
_5gfJdpgXvc,https://www.youtube.com/watch?v=_5gfJdpgXvc,ok,downloaded,data/raw_vtt
buzfmeTpyCw,https://www.youtube.com/watch?v=buzfmeTpyCw,ok,downloaded,data/raw_vtt
cXOoJKe4rug,https://www.youtube.com/watch?v=cXOoJKe4rug,ok,downloaded,data/raw_vtt
cialLfVZqm4,https://www.youtube.com/watch?v=cialLfVZqm4,ok,downloaded,data/raw_vtt
ct2k6iXLurg,https://www.youtube.com/watch?v=ct2k6iXLurg,ok,downloaded,data/raw_vtt
eOnIWDMNyfE,https://www.youtube.com/watch?v=eOnIWDMNyfE,ok,downloaded,data/raw_vtt
epAVydG6IxI,https://www.youtube.com/watch?v=epAVydG6IxI,ok,downloaded,data/raw_vtt
ffgpqk5hZBE,https://www.youtube.com/watch?v=ffgpqk5hZBE,ok,downloaded,data/raw_vtt
flDkL8bukEs,https://www.youtube.com/watch?v=flDkL8bukEs,ok,downloaded,data/raw_vtt
fybq6V74qRk,https://www.youtube.com/watch?v=fybq6V74qRk,ok,downloaded,data/raw_vtt
gVsxe9v72C0,https://www.youtube.com/watch?v=gVsxe9v72C0,ok,downloaded,data/raw_vtt
gryta3KZKU4,https://www.youtube.com/watch?v=gryta3KZKU4,ok,downloaded,data/raw_vtt
hCW2NHbWNwA,https://www.youtube.com/watch?v=hCW2NHbWNwA,ok,downloaded,data/raw_vtt
hQ78Hpwrt80,https://www.youtube.com/watch?v=hQ78Hpwrt80,ok,downloaded,data/raw_vtt
irn3cFHmK-Y,https://www.youtube.com/watch?v=irn3cFHmK-Y,ok,downloaded,data/raw_vtt
j5-IzMaNLMQ,https://www.youtube.com/watch?v=j5-IzMaNLMQ,ok,downloaded,data/raw_vtt
jDG1m_b5Ih0,https://www.youtube.com/watch?v=jDG1m_b5Ih0,ok,downloaded,data/raw_vtt
jSqCL7Npln0,https://www.youtube.com/watch?v=jSqCL7Npln0,ok,downloaded,data/raw_vtt
jnYrxVXQKS0,https://www.youtube.com/watch?v=jnYrxVXQKS0,ok,downloaded,data/raw_vtt
