-3fIiw9iKwM\tStay Younger With Stem Cell Boosting Foods!\tNA\thttps://www.youtube.com/watch?v=-3fIiw9iKwM\tNA\t1151.0
-A1sE7byy-E\t5 Bad Habits That Make Heart Attacks; Prevention\tNA\thttps://www.youtube.com/watch?v=-A1sE7byy-E\tNA\t513.0
-OBCwiPPfEU\tDr. Matt Walker: The Biology of Sleep & Your Unique Sleep Needs | Huberman Lab Guest Series\tNA\thttps://www.youtube.com/watch?v=-OBCwiPPfEU\tNA\t10774.0
-_2S_erNJTY\tWhich Beef Is The Healthiest? It's Not What You Think.\tNA\thttps://www.youtube.com/watch?v=-_2S_erNJTY\tNA\t1208.0
-axlManjN_Y\t"Healthy" Foods That Cause Cancer\tNA\thttps://www.youtube.com/watch?v=-axlManjN_Y\tNA\t1958.0
-e9ErUozQo4\tLIVE EVENT Q&A: Dr. Andrew Huberman at the Brisbane Convention & Exhibition Centre\tNA\thttps://www.youtube.com/watch?v=-e9ErUozQo4\tNA\t3189.0
-wIt_WsJGfw\tUsing Meditation to Focus, View Consciousness & Expand Your Mind | Dr. Sam Harris\tNA\thttps://www.youtube.com/watch?v=-wIt_WsJGfw\tNA\t15716.0
099hgtRoUZw\tBoost Attention & Memory with Science-Based Tools | Dr. Wendy Suzuki\tNA\thttps://www.youtube.com/watch?v=099hgtRoUZw\tNA\t6399.0
0Axj7dj2CjE\tEat Sugar and Lose Weight! 10 Unbelievable Sweets!\tNA\thttps://www.youtube.com/watch?v=0Axj7dj2CjE\tNA\t1966.0
0CVozExMpEo\tThe Truth About Dairy & Plant Milks\tNA\thttps://www.youtube.com/watch?v=0CVozExMpEo\tNA\t1858.0
0RYyQRQFgFk\tScience-Based Mental Training & Visualization for Improved Learning | Huberman Lab Podcast\tNA\thttps://www.youtube.com/watch?v=0RYyQRQFgFk\tNA\t7187.0
0Za_3yePTWg\tTop 10 Ways to Find Cheap & Healthy Groceries!\tNA\thttps://www.youtube.com/watch?v=0Za_3yePTWg\tNA\t304.0
0ZtpuIEkwgY\tWhich Iron Is Best? It's Not What You Think!\tNA\thttps://www.youtube.com/watch?v=0ZtpuIEkwgY\tNA\t1484.0
0ksdjxzr1iI\tInflammation: Unaware of Gout? Top 10 Best Foods\tNA\thttps://www.youtube.com/watch?v=0ksdjxzr1iI\tNA\t307.0
12ff2W5fv9c\tHealthy Immune Doc: How I Stay Healthy Daily.\tNA\thttps://www.youtube.com/watch?v=12ff2W5fv9c\tNA\t460.0
